# Number of Traces
481
# TraceId; FractureId1; FractureId2; X1; Y1; Z1; X2; Y2; Z2
0; 0; 2; 5.4654852181428448e-01; 6.9052767800517734e-01; -9.0930588885243413e-02; 6.0654762549414931e-02; 1.0345903503281990e+00; 2.2650869811942531e-01
1; 0; 6; 5.2367529081676201e-01; 1.0735186819128366e+00; 4.6597960550042533e-02; 3.6781326790671787e-01; 6.8171494252089027e-01; -1.9404528350684166e-02
2; 0; 8; 4.1782091083768896e-01; 5.3004240780159473e-01; -9.0930588885243413e-02; 2.8248513440244249e-01; 5.2491838870804419e-01; -3.6254440306971975e-02
3; 0; 11; 1.6097959353991506e-01; 2.3056856008856841e-01; -8.4002032784752989e-02; 7.1815569848489913e-02; 5.8224085486615862e-01; 7.0680125497282781e-02
4; 0; 22; -2.0916890436406679e-01; 3.6573223147044059e-01; 1.1539565664922147e-01; -1.1231544745610714e-01; 7.6534186588019071e-01; 2.0859327620463811e-01
5; 0; 38; 3.6821996623174591e-02; 1.7031812661147006e-01; -5.2406984008583402e-02; 1.5149291593877617e-01; 6.2582168352711698e-01; 5.2046997701574393e-02
6; 0; 39; 3.2995350022406911e-01; 4.5531427352811710e-01; -7.9294657144429639e-02; 2.0351122525888615e-01; 1.0030330066471429e+00; 1.5643983507302264e-01
7; 1; 3; 4.5279596528032007e-01; 3.3617419485943989e-01; 6.7759570734018326e-01; -9.6835390357929291e-04; 8.3153831646382070e-01; 8.4919171765252865e-01
8; 1; 4; 4.5566810363402344e-01; 3.8173449625880240e-01; 6.9501869969472840e-01; 3.8631052466342053e-01; 6.1379397738286623e-01; 7.8067274338015491e-01
9; 1; 5; 2.2475099375301222e-01; 1.1681157113780474e+00; 9.8542638993839837e-01; 6.2282847980780554e-01; 3.7003769166801492e-01; 6.9672134289185772e-01
10; 1; 7; -1.4754722965866435e-01; 3.9427008050338946e-01; 6.7759570734018326e-01; -3.8296863823644178e-01; 6.5265985121711112e-01; 7.6714958980140180e-01
11; 1; 9; 2.4737078092931297e-01; 3.5605342080728514e-01; 6.7759570734018326e-01; 3.8178907118053834e-01; 6.6944388434470625e-01; 8.0165881330821998e-01
12; 1; 10; 5.8365501952545895e-01; 3.2351081711985608e-01; 6.7759570734018326e-01; 5.0961083307961719e-01; 7.0973632576159151e-01; 8.2167545877766002e-01
13; 1; 11; -7.0958593573146489e-02; 3.8685851211857164e-01; 6.7759570734018326e-01; -7.3415462871097473e-02; 3.9733272557026417e-01; 6.8148655805889713e-01
14; 1; 14; 6.9745247592223747e-01; 3.1249850937799600e-01; 6.7759570734018326e-01; 8.3212151409630164e-01; 3.8387255475346460e-01; 7.0967824647672995e-01
15; 1; 17; 8.6970752876353474e-01; 7.7227369332359641e-01; 8.5869098062460814e-01; 3.8808960525450215e-01; 9.2832248409340090e-01; 9.0028962219507547e-01
16; 1; 18; 8.2906501404763244e-01; 3.5228771902525102e-01; 6.9756050978110784e-01; 3.7726019182148807e-01; 4.5490379412566889e-01; 7.1994611849282841e-01
17; 1; 19; 8.7632886245431740e-01; 8.4069631187258420e-01; 8.8494178283666436e-01; 6.4053352900710459e-01; 1.1278799681823106e+00; 9.8542638993839837e-01
18; 1; 21; 8.2501555948069172e-01; 3.1044202779374708e-01; 6.8150612619801654e-01; 7.5849221411552636e-01; 4.0957655255191650e-01; 7.1674000133760329e-01
19; 1; 25; -2.7729411385841429e-01; 7.8273481981414861e-01; 8.2047770297365186e-01; -3.6786817254726545e-02; 9.5217799737434994e-01; 8.9372904543905862e-01
20; 1; 26; -6.2718862134328091e-02; 6.8592664831997152e-01; 7.9157377941339757e-01; 5.5938689219126114e-01; 6.6480779006532287e-01; 8.0642912824446267e-01
21; 1; 27; 8.2499036364008371e-01; 3.1018166251517143e-01; 6.8140623529094924e-01; 8.0147900848813869e-01; 3.3102859003747959e-01; 6.8846529129663991e-01
22; 1; 28; 5.6957841550485522e-01; 3.2487302591031181e-01; 6.7759570734018326e-01; 8.2218691665155474e-01; 4.3329187709551376e-01; 7.2809697927517969e-01
23; 1; 29; 6.9578898358420094e-01; 3.1265948740099164e-01; 6.7759570734018326e-01; 8.2896926429644568e-01; 3.5129827354378718e-01; 6.9718090230357577e-01
24; 1; 30; 8.8334043657939754e-01; 9.1315154282645650e-01; 9.1273972418024507e-01; 7.4317919471503191e-01; 7.5882469990203005e-01; 8.4892503301492628e-01
25; 1; 34; -1.4797090185180961e-01; 3.9431107973764579e-01; 6.7759570734018326e-01; 1.9772505182585132e-01; 1.1707310421502735e+00; 9.8542638993839837e-01
26; 1; 35; -3.5206503003725687e-02; 3.8339874213572989e-01; 6.7759570734018326e-01; 7.9281883252977581e-01; 6.6058617176359424e-01; 8.1341069975408509e-01
27; 1; 36; 6.5981327273671020e-01; 3.1614089736944817e-01; 6.7759570734018326e-01; 7.7108422904993268e-01; 4.0159554998409430e-01; 7.1416960880056679e-01
28; 1; 40; 8.4759839871950249e-01; 5.4380543570373663e-01; 7.7103758223532970e-01; 7.1794693722448444e-01; 1.1203885856714080e+00; 9.8542638993839837e-01
29; 1; 42; 2.0813666298046474e-01; 3.5985015049275976e-01; 6.7759570734018326e-01; 8.6684385759643268e-01; 9.6988203256510230e-01; 9.3369604633362657e-01
30; 1; 43; 8.6738234289919469e-01; 7.4824601055136153e-01; 8.4947259697540034e-01; 6.7003460018143002e-02; 7.0757113793562898e-01; 8.0457229578388501e-01
31; 1; 44; 3.8369156713745112e-01; 3.4286150512771091e-01; 6.7759570734018326e-01; 7.9465504659190478e-01; 8.3721762985273807e-01; 8.8061538259264283e-01
32; 1; 45; 1.0061783356846243e-01; 1.1801282167907832e+00; 9.8542638993839837e-01; 3.6013511649330687e-01; 3.4754451505014561e-01; 6.7850924299571491e-01
33; 1; 46; 7.1068703866665339e-01; 3.1121778586812865e-01; 6.7759570734018326e-01; 7.4354386912080228e-01; 4.3603949445264578e-01; 7.2624865775325165e-01
34; 1; 47; 6.0941598883678394e-01; 3.2101789916924928e-01; 6.7759570734018326e-01; 8.4160536768583116e-01; 4.8187548389659990e-01; 7.4727773570552491e-01
