# FractureId; NumTraces
0; 7
# TraceId; Tips; Length
87; 1; 6.2687452207338412e-01
90; 1; 5.8102259934463407e-01
88; 1; 5.2789646453839467e-01
73; 1; 5.2753809088190018e-01
75; 1; 5.2284873226797379e-01
71; 1; 4.9334759254711774e-01
74; 1; 4.5977394119010534e-01
83; 1; 4.2156776278981545e-01
85; 1; 4.0879329399964287e-01
69; 1; 3.6951510369423823e-01
84; 1; 2.9325172090586371e-01
8; 1; 2.5690210536291463e-01
72; 1; 2.0730281162183353e-01
77; 1; 1.7500582881682741e-01
78; 1; 1.4229570102831179e-01
79; 1; 6.0080722747593449e-02
# FractureId; NumTraces
5; 19
# TraceId; Tips; Length
100; 0; 8.0011000011290989e-01
99; 0; 7.6128311330849008e-01
92; 0; 1.8037308236993038e-01
93; 0; 1.4546681590113203e-01
9; 1; 9.3741389718636903e-01
103; 1; 5.4193063526718221e-01
102; 1; 4.5828326496382832e-01
104; 1; 4.5793878923464454e-01
91; 1; 4.1816157727458703e-01
69; 1; 3.6951510369423823e-01
101; 1; 3.4256644263550540e-01
96; 1; 3.1802728350911863e-01
95; 1; 3.1592384318204869e-01
105; 1; 2.3886239058765787e-01
107; 1; 2.2390863664954200e-01
94; 1; 1.5014470862621834e-01
106; 1; 1.2220046815910005e-01
98; 1; 1.0041749859015381e-01
97; 1; 6.7464180324003850e-02
# FractureId; NumTraces
6; 7
# TraceId; Tips; Length
36; 1; 6.9672839998550407e-01
1; 1; 4.2680143969791606e-01
112; 1; 1.9596735547721914e-01
109; 1; 1.5242556599522333e-01
110; 1; 1.4973175970221292e-01
111; 1; 3.7749700950232917e-02
108; 1; 8.1023930923595690e-03
# FractureId; NumTraces
7; 24
# TraceId; Tips; Length
120; 0; 9.9493753841209853e-01
117; 0; 8.6276525116766212e-01
124; 0; 7.3599990753973865e-01
121; 0; 7.1387476419108054e-01
129; 0; 5.0797228821189988e-01
114; 0; 4.1238289690281027e-01
122; 0; 2.5846507698565868e-01
41; 0; 1.7285713851104545e-01
132; 1; 7.9741057504480051e-01
123; 1; 5.3336313639516497e-01
130; 1; 5.2989735850812225e-01
128; 1; 5.2803578637605542e-01
113; 1; 5.2086105275162520e-01
131; 1; 4.4791420058171444e-01
10; 1; 3.6084402598645332e-01
119; 1; 3.3904431391603040e-01
118; 1; 3.0595373515579266e-01
127; 1; 2.1755214765727460e-01
134; 1; 1.8857250202010531e-01
115; 1; 1.2603545620209725e-01
126; 1; 1.1369984160350596e-01
133; 1; 1.0716343122549349e-01
116; 1; 4.2249225726658665e-02
125; 1; 9.4905881960352448e-03
# FractureId; NumTraces
8; 9
# TraceId; Tips; Length
138; 0; 3.3767888439838573e-01
140; 0; 1.0749675506845328e-01
135; 1; 6.0759601814421049e-01
139; 1; 3.5094448774549092e-01
136; 1; 3.2461084958832137e-01
137; 1; 2.5879726107968903e-01
142; 1; 1.6236851154716458e-01
2; 1; 1.4605310396686302e-01
141; 1; 7.8843755929514439e-02
# FractureId; NumTraces
9; 22
# TraceId; Tips; Length
151; 0; 7.1535205763484022e-01
144; 0; 4.8298143698395496e-01
149; 0; 3.9088120433452117e-01
146; 0; 2.2948873112094262e-01
156; 0; 1.2859362082504747e-01
70; 0; 5.1344459412477908e-02
158; 1; 5.7681392653823615e-01
148; 1; 5.4824912211249832e-01
42; 1; 5.3982200587684581e-01
155; 1; 5.3605405198337919e-01
113; 1; 5.2086105275162520e-01
152; 1; 5.1061979220506304e-01
153; 1; 4.7522431936079246e-01
160; 1; 3.7755496131912908e-01
11; 1; 3.6286845226982550e-01
159; 1; 3.4926060408786769e-01
150; 1; 3.2472319566450430e-01
147; 1; 3.2448070218554637e-01
143; 1; 2.6469561061149333e-01
154; 1; 2.1543647821038073e-01
157; 1; 1.7965686602168338e-01
145; 1; 8.6767193239245338e-02
# FractureId; NumTraces
10; 28
# TraceId; Tips; Length
162; 0; 1.1059679206308382e+00
183; 0; 9.9849660171934940e-01
161; 0; 7.0615194598080222e-01
